event_type,matchup,location,date
Regular Season,Angel City FC vs North Carolina Courage,"BMO Stadium, Los Angeles, California",2023-07-09 20:00:00
Challenge Cup,Racing Louisville FC vs Chicago Red Stars,"Lynn Family Stadium, Louisville, Kentucky",2023-07-21 20:00:00
Challenge Cup,Portland Thorns FC vs San Diego Wave FC,"Providence Park, Portland, Oregon",2023-07-21 22:30:00
Challenge Cup,North Carolina Courage vs Washington Spirit,"WakeMed Soccer Park, Cary, North Carolina",2023-07-22 19:00:00
Challenge Cup,Kansas City Current vs Houston Dash,"Children's Mercy Park, Kansas City, Kansas",2023-07-22 20:00:00
Challenge Cup,Washington Spirit vs NJ/NY Gotham FC,"Audi Field, Washington, District of Columbia",2023-07-28 19:00:00
Challenge Cup,OL Reign vs San Diego Wave FC,"Lumen Field, Seattle, Washington",2023-07-28 22:00:00
Challenge Cup,North Carolina Courage vs Orlando Pride,"WakeMed Soccer Park, Cary, North Carolina",2023-07-29 19:00:00
Challenge Cup,Chicago Red Stars vs Kansas City Current,"SeatGeek Stadium, Bridgeview, Illinois",2023-07-29 20:00:00
Challenge Cup,Houston Dash vs Racing Louisville FC,"Shell Energy Stadium, Houston, Texas",2023-07-29 20:30:00
Challenge Cup,Angel City FC vs Portland Thorns FC,"BMO Stadium, Los Angeles, California",2023-07-29 22:00:00
Challenge Cup,Orlando Pride vs Washington Spirit,"Exploria Stadium, Orlando, Florida",2023-08-04 19:00:00
Challenge Cup,Kansas City Current vs Racing Louisville FC,"Children's Mercy Park, Kansas City, Kansas",2023-08-04 20:00:00
Challenge Cup,NJ/NY Gotham FC vs North Carolina Courage,"Red Bull Arena, Harrison, New Jersey",2023-08-05 19:30:00
Challenge Cup,Chicago Red Stars vs Houston Dash,"SeatGeek Stadium, Bridgeview, Illinois",2023-08-05 20:00:00
Challenge Cup,San Diego Wave FC vs Angel City FC,"Snapdragon Stadium, San Diego, California",2023-08-05 22:00:00
Challenge Cup,OL Reign vs Portland Thorns FC,"Lumen Field, Seattle, Washington",2023-08-06 18:00:00
Regular Season,Kansas City Current vs OL Reign,"Children's Mercy Park, Kansas City, Kansas",2023-08-18 20:00:00
Regular Season,Racing Louisville FC vs Angel City FC,"Lynn Family Stadium, Louisville, Kentucky",2023-08-19 19:30:00
Regular Season,Houston Dash vs Washington Spirit,"Shell Energy Stadium, Houston, Texas",2023-08-19 20:30:00
Regular Season,San Diego Wave FC vs NJ/NY Gotham FC,"Snapdragon Stadium, San Diego, California",2023-08-19 22:00:00
Regular Season,Orlando Pride vs Chicago Red Stars,"Exploria Stadium, Orlando, Florida",2023-08-20 19:00:00
Regular Season,Portland Thorns FC vs North Carolina Courage,"Providence Park, Portland, Oregon",2023-08-20 22:30:00
Regular Season,Orlando Pride vs San Diego Wave FC,"Exploria Stadium, Orlando, Florida",2023-08-25 19:00:00
Regular Season,Houston Dash vs Kansas City Current,"Shell Energy Stadium, Houston, Texas",2023-08-26 20:30:00
Regular Season,North Carolina Courage vs Chicago Red Stars,"WakeMed Soccer Park, Cary, North Carolina",2023-08-27 14:00:00
